VEHICLE - STOLEN,7241
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",6463
BATTERY - SIMPLE ASSAULT,6181
INTIMATE PARTNER - SIMPLE ASSAULT,6060
ROBBERY,5282


