BATTERY - SIMPLE ASSAULT,6174
THEFT PLAIN - PETTY ($950 & UNDER),5030
INTIMATE PARTNER - SIMPLE ASSAULT,4584
VEHICLE - STOLEN,4578
BURGLARY FROM VEHICLE,4109
